Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,8.36146e+11,2.34986e+12,1.66331e+12,5.95872e+11,4.34102e+11,6.04346e+11,4.87022e+11,5.28399e+11,5.26957e+11
2, 1,5.44644e+11,1.80989e+12,1.08096e+12,5.03717e+11,2.49635e+11,4.21871e+11,2.10334e+11,2.46503e+11,2.06656e+11
3, 1,4.22534e+11,1.30094e+12,6.61269e+11,4.69888e+11,2.23735e+11,3.87495e+11,1.19018e+11,1.49109e+11,1.06534e+11
4, 1,3.80282e+11,9.04615e+11,4.52041e+11,4.46459e+11,2.03679e+11,3.56916e+11,8.70623e+10,1.1497e+11,7.58089e+10
5, 1,3.87412e+11,5.9435e+11,3.70858e+11,4.68456e+11,1.89233e+11,3.46502e+11,7.65759e+10,1.02368e+11,6.63575e+10
6, 1,4.25892e+11,3.71931e+11,3.47654e+11,8.27034e+11,2.22487e+11,4.73338e+11,7.86101e+10,1.01612e+11,6.66423e+10
7, 1,4.7346e+11,2.57961e+11,3.39611e+11,1.32036e+12,2.85705e+11,6.68318e+11,1.00333e+11,1.35438e+11,9.5546e+10
8, 1,5.16103e+11,2.10086e+11,3.36506e+11,1.76452e+12,3.39025e+11,8.88592e+11,1.17522e+11,1.70369e+11,1.13985e+11
9, 1,5.52199e+11,1.84229e+11,3.35497e+11,1.86989e+12,3.6313e+11,1.04992e+12,1.2377e+11,1.94912e+11,1.17978e+11
10, 1,5.89438e+11,1.62084e+11,3.37911e+11,1.68877e+12,3.32349e+11,9.74999e+11,1.16141e+11,1.83171e+11,1.1048e+11
11, 1,6.2649e+11,1.4067e+11,3.42154e+11,1.4969e+12,2.93966e+11,8.77901e+11,1.06772e+11,1.70517e+11,1.02851e+11
12, 1,6.55971e+11,1.18221e+11,3.41936e+11,1.3191e+12,2.61257e+11,7.81942e+11,9.86896e+10,1.58083e+11,9.54399e+10
13, 2,6.68645e+11,9.58846e+10,3.32906e+11,1.16163e+12,2.32913e+11,6.90046e+11,9.15911e+10,1.47923e+11,8.85335e+10
14, 2,6.66598e+11,7.60281e+10,3.16471e+11,1.02209e+12,2.09797e+11,6.08741e+11,8.53251e+10,1.38011e+11,8.28003e+10
15, 2,6.63422e+11,5.88541e+10,3.00087e+11,8.92902e+11,1.8874e+11,5.38739e+11,8.01073e+10,1.30439e+11,7.78844e+10
16, 2,6.69006e+11,4.67045e+10,2.91897e+11,7.69372e+11,1.69757e+11,4.73873e+11,7.56609e+10,1.2463e+11,7.43272e+10
17, 2,7.08783e+11,3.85689e+10,2.98965e+11,6.96145e+11,1.48564e+11,4.39161e+11,7.33198e+10,1.19872e+11,7.17364e+10
18, 2,7.77433e+11,3.59963e+10,3.27708e+11,8.0357e+11,1.58721e+11,5.23931e+11,7.89216e+10,1.24836e+11,7.48977e+10
19, 2,8.71665e+11,3.69754e+10,3.71214e+11,9.57102e+11,1.79071e+11,6.34014e+11,9.11004e+10,1.54226e+11,8.38354e+10
20, 2,9.81319e+11,4.11154e+10,4.2189e+11,1.05323e+12,2.16078e+11,7.68543e+11,1.06289e+11,1.91151e+11,9.65959e+10
21, 2,1.09286e+12,4.82334e+10,4.78454e+11,1.03056e+12,2.207e+11,8.09776e+11,1.10939e+11,2.11924e+11,1.00855e+11
22, 2,1.20254e+12,5.50383e+10,5.28313e+11,8.84062e+11,1.73654e+11,6.95917e+11,1.01359e+11,1.91964e+11,9.14697e+10
23, 2,1.26952e+12,6.05404e+10,5.46872e+11,7.70009e+11,1.41669e+11,6.08397e+11,9.25319e+10,1.72892e+11,8.1853e+10
